Hot_chr	Hot_start	Hot_end	Hot_GC	Min_rec	Mean_rec	Max_rec	hot_count_Western	hot_count_A1	hot_count_E1	hot_count_Pt1	hot_count_total	Cold_chr	Cold_start	Cold_end	Cold_GC	Min_rec	Mean_rec	Max_rec	cold_count_Western	cold_count_A1	cold_count_E1	cold_count_Pt1	cold_count_total
chr1	5605000	5607000	46.88	0.00	3.15940635956909	3.19047967479675	1	2	0	0	3	chr1	5608001	5610000	46.85	0	0.00160525888672783	0.00163145258105041	0	0	0	0	0
chr1	5616000	5619000	51.98	8.33	3.8827456842277	7.50976510067114	0	1	0	0	1	chr1	5668001	5671000	51.7666666666667	0	0.487422474593238	0.487850150348255	1	0	0	0	1
chr1	5657000	5659000	44.88	0.00	5.58498365431547	6.86617777777769	0	1	0	1	2	chr1	5576001	5578000	44.95	0	0.385980033561462	1.11769987995198	2	0	0	0	2
chr1	5671000	5676000	52.27	0.00	9.10435813229558	13.668573275862	0	1	1	0	2	chr1	5679001	5684000	52.404	14.32	0.0751468557232892	0.537145506295236	1	0	3	0	4
chr1	5692000	5696000	47.16	0.00	38.3919702336349	49.2900000000418	0	0	0	0	0	chr1	5598001	5602000	48.3975	0.25	0.524607922423481	0.75714468628819	2	0	0	0	2
chr1	6150000	6152000	62.43	0.50	15.7079299782939	15.7080000000178	0	0	0	0	0	chr1	6113001	6115000	62.28	2.05	0.37489791197707	0.375950120680856	1	1	0	0	2
chr1	6484000	6487000	56.68	20.16	12.1671999900996	28.5079999998743	0	0	0	0	0	chr1	6400001	6403000	56.4333333333333	0	0.149645039971145	0.286667706652085	1	0	0	0	1
chr1	6620000	6623000	51.21	32.39	6.39047399032848	8.78326086956646	0	0	0	0	0	chr1	6708001	6711000	51.0666666666667	0	0.0955909338204492	0.0955946871327961	0	0	1	0	1
chr1	6739000	6742000	39.89	0.00	3.82087734033711	7.56300000000465	2	1	1	0	4	chr1	6746001	6749000	39.1433333333333	0.333333333333333	0.00293001081264967	0.00293067120533159	0	2	1	2	5
chr1	7194000	7196000	49.98	0.00	3.03005043176873	7.42191075514825	0	0	0	0	0	chr1	7171001	7173000	49.9	0	0.309653169784996	0.311785175458875	0	0	0	0	0
chr1	7245000	7248000	41.69	0.00	5.45115685508109	12.568160186625	0	1	0	2	3	chr1	7327001	7330000	41.4666666666667	0	0.00882932904367708	0.0089264639814325	0	0	0	0	0
chr1	7365000	7368000	42.63	0.33	17.3546774409598	25.3830000000335	0	1	0	1	2	chr1	7446001	7449000	42.3233333333333	24.9	0.011669982962737	0.0116700843328953	0	1	0	0	1
chr1	7397000	7398000	45.45	0.00	6.17207951504887	15.3507894736843	1	2	0	0	3	chr1	7389001	7390000	45.5	0	0.156529964221834	0.156529964221834	0	0	0	0	0
chr1	7470000	7471000	35.56	0.00	3.31744412951584	11.1519718309869	0	0	0	0	0	chr1	7464001	7465000	36.3	0	0.000400680147295112	0.000499999941894202	0	0	0	0	0
